dates,Close,SandP_Change
7/23/1958,46.400002,-0.00020
7/24/1958,46.650002,0.00540
7/25/1958,46.970001,0.00690
7/28/1958,47.150002,0.00380
7/29/1958,46.959999,-0.00400
7/30/1958,47.09,0.00280
7/31/1958,47.189999,0.00210
8/1/1958,47.490002,0.00640
8/4/1958,47.939999,0.00950
8/5/1958,47.75,-0.00400
8/6/1958,47.459999,-0.00610
8/7/1958,47.77,0.00650
8/8/1958,48.049999,0.00590
8/11/1958,48.16,0.00230
8/12/1958,47.73,-0.00890
8/13/1958,47.810001,0.00170
8/14/1958,47.91,0.00210
8/15/1958,47.5,-0.00860
8/18/1958,47.220001,-0.00590
8/19/1958,47.299999,0.00170
8/20/1958,47.32,0.00040
8/21/1958,47.630001,0.00660
8/22/1958,47.73,0.00210
8/25/1958,47.740002,0.00020
8/26/1958,47.900002,0.00340
8/27/1958,47.91,0.00020
8/28/1958,47.66,-0.00520
8/29/1958,47.75,0.00190
9/2/1958,48,0.00520
9/3/1958,48.18,0.00370
9/4/1958,48.099998,-0.00170
9/5/1958,47.970001,-0.00270
9/8/1958,48.130001,0.00330
9/9/1958,48.459999,0.00690
9/10/1958,48.310001,-0.00310
9/11/1958,48.639999,0.00680
9/12/1958,48.529999,-0.00230
9/15/1958,48.959999,0.00890
9/16/1958,49.349998,0.00800
9/17/1958,49.349998,0.00000
9/18/1958,49.380001,0.00060
9/19/1958,49.400002,0.00040
9/22/1958,49.200001,-0.00400
9/23/1958,49.560001,0.00730
9/24/1958,49.779999,0.00440
9/25/1958,49.57,-0.00420
9/26/1958,49.66,0.00180
9/29/1958,49.869999,0.00420
9/30/1958,50.060001,0.00380
10/1/1958,49.98,-0.00160
10/2/1958,50.169998,0.00380
10/3/1958,50.369999,0.00400
10/6/1958,51.07,0.01390
10/7/1958,51.07,0.00000
10/8/1958,51.060001,-0.00020
10/9/1958,51.049999,-0.00020
10/10/1958,51.389999,0.00670
10/13/1958,51.619999,0.00450
10/14/1958,51.259998,-0.00700
10/15/1958,50.580002,-0.01330
10/16/1958,50.939999,0.00710
10/17/1958,51.459999,0.01020
10/20/1958,51.27,-0.00370
10/21/1958,51.27,0.00000
10/22/1958,51.07,-0.00390
10/23/1958,50.970001,-0.00200
10/24/1958,50.810001,-0.00310
10/27/1958,50.419998,-0.00770
10/28/1958,50.580002,0.00320
10/29/1958,51.07,0.00970
10/30/1958,51.27,0.00390
10/31/1958,51.330002,0.00120
11/3/1958,51.560001,0.00450
11/5/1958,52.029999,0.00910
11/6/1958,52.450001,0.00810
11/7/1958,52.259998,-0.00360
11/10/1958,52.57,0.00590
11/11/1958,52.98,0.00780
11/12/1958,53.049999,0.00130
11/13/1958,52.830002,-0.00410
11/14/1958,53.09,0.00490
11/17/1958,53.240002,0.00280
11/18/1958,53.130001,-0.00210
11/19/1958,53.200001,0.00130
11/20/1958,53.209999,0.00020
11/21/1958,52.700001,-0.00960
11/24/1958,52.029999,-0.01270
11/25/1958,51.02,-0.01940
11/26/1958,51.900002,0.01720
11/28/1958,52.48,0.01120
12/1/1958,52.689999,0.00400
12/2/1958,52.459999,-0.00440
12/3/1958,52.529999,0.00130
12/4/1958,52.549999,0.00040
12/5/1958,52.459999,-0.00170
12/8/1958,52.459999,0.00000
12/9/1958,52.82,0.00690
12/10/1958,53.459999,0.01210
12/11/1958,53.349998,-0.00210
12/12/1958,53.220001,-0.00240
12/15/1958,53.369999,0.00280
12/16/1958,53.57,0.00370
12/17/1958,53.919998,0.00650
12/18/1958,54.150002,0.00430
12/19/1958,54.07,-0.00150
12/22/1958,53.709999,-0.00670
12/23/1958,53.419998,-0.00540
12/24/1958,54.110001,0.01290
12/29/1958,54.740002,0.01160
12/30/1958,54.93,0.00350
12/31/1958,55.209999,0.00510
1/2/1959,55.439999,0.00420
1/5/1959,55.66,0.00400
1/6/1959,55.59,-0.00130
1/7/1959,54.889999,-0.01260
1/8/1959,55.400002,0.00930
1/9/1959,55.77,0.00670
1/12/1959,55.779999,0.00020
1/13/1959,55.470001,-0.00560
1/14/1959,55.619999,0.00270
1/15/1959,55.830002,0.00380
1/16/1959,55.810001,-0.00040
1/19/1959,55.68,-0.00230
1/20/1959,55.720001,0.00070
1/21/1959,56.040001,0.00570
1/22/1959,55.970001,-0.00120
1/23/1959,56,0.00050
1/26/1959,55.77,-0.00410
1/27/1959,55.779999,0.00020
1/28/1959,55.16,-0.01110
1/29/1959,55.200001,0.00070
1/30/1959,55.450001,0.00450
2/2/1959,55.209999,-0.00430
2/3/1959,55.279999,0.00130
2/4/1959,55.060001,-0.00400
2/5/1959,54.810001,-0.00450
2/6/1959,54.369999,-0.00800
2/9/1959,53.580002,-0.01450
2/10/1959,54.32,0.01380
2/11/1959,54.349998,0.00060
2/12/1959,54,-0.00640
2/13/1959,54.419998,0.00780
2/16/1959,54.5,0.00150
2/17/1959,54.290001,-0.00390
2/18/1959,54.299999,0.00020
2/19/1959,55.5,0.02210
2/20/1959,55.52,0.00040
2/24/1959,55.48,-0.00070
2/25/1959,55.240002,-0.00430
2/26/1959,55.34,0.00180
2/27/1959,55.41,0.00130
3/2/1959,55.73,0.00580
3/3/1959,56.25,0.00930
3/4/1959,56.349998,0.00180
3/5/1959,56.43,0.00140
3/6/1959,56.209999,-0.00390
3/9/1959,56.150002,-0.00110
3/10/1959,56.310001,0.00280
3/11/1959,56.349998,0.00070
3/12/1959,56.599998,0.00440
3/13/1959,56.669998,0.00120
3/16/1959,56.060001,-0.01080
3/17/1959,56.52,0.00820
3/18/1959,56.389999,-0.00230
3/19/1959,56.34,-0.00090
3/20/1959,56.389999,0.00090
3/23/1959,55.869999,-0.00920
3/24/1959,55.959999,0.00160
3/25/1959,55.880001,-0.00140
3/26/1959,55.759998,-0.00210
3/30/1959,55.450001,-0.00560
3/31/1959,55.439999,-0.00020
4/1/1959,55.689999,0.00450
4/2/1959,56,0.00560
4/3/1959,56.439999,0.00790
4/6/1959,56.599998,0.00280
4/7/1959,56.48,-0.00210
4/8/1959,56.209999,-0.00480
4/9/1959,56.169998,-0.00070
4/10/1959,56.220001,0.00090
4/13/1959,56.43,0.00370
4/14/1959,56.709999,0.00500
4/15/1959,56.959999,0.00440
4/16/1959,57.43,0.00830
4/17/1959,57.919998,0.00850
4/20/1959,58.169998,0.00430
4/21/1959,58.110001,-0.00100
4/22/1959,57.73,-0.00650
4/23/1959,57.599998,-0.00230
4/24/1959,57.959999,0.00630
4/27/1959,58.139999,0.00310
4/28/1959,57.919998,-0.00380
4/29/1959,57.689999,-0.00400
4/30/1959,57.59,-0.00170
5/1/1959,57.650002,0.00100
5/4/1959,57.650002,0.00000
5/5/1959,57.75,0.00170
5/6/1959,57.610001,-0.00240
5/7/1959,56.880001,-0.01270
5/8/1959,57.32,0.00770
5/11/1959,57.959999,0.01120
5/12/1959,57.959999,0.00000
5/13/1959,57.970001,0.00020
5/14/1959,58.369999,0.00690
5/15/1959,58.16,-0.00360
5/18/1959,58.150002,-0.00020
5/19/1959,58.32,0.00290
5/20/1959,58.09,-0.00390
5/21/1959,58.139999,0.00090
5/22/1959,58.330002,0.00330
5/25/1959,58.18,-0.00260
5/26/1959,58.09,-0.00150
5/27/1959,58.189999,0.00170
5/28/1959,58.389999,0.00340
5/29/1959,58.68,0.00500
6/1/1959,58.630001,-0.00090
6/2/1959,58.23,-0.00680
6/3/1959,58.25,0.00030
6/4/1959,57.630001,-0.01060
6/5/1959,57.509998,-0.00210
6/8/1959,56.759998,-0.01300
6/9/1959,56.360001,-0.00700
6/10/1959,57.189999,0.01470
6/11/1959,57.25,0.00100
6/12/1959,57.290001,0.00070
6/15/1959,56.990002,-0.00520
6/16/1959,56.560001,-0.00750
6/17/1959,57.09,0.00940
6/18/1959,57.049999,-0.00070
