dates,Close,NASDAQ_Change
11/14/1984,247,-0.00320
11/15/1984,246,-0.00400
11/16/1984,245.100006,-0.00370
11/19/1984,242.899994,-0.00900
11/20/1984,243.199997,0.00120
11/21/1984,243,-0.00080
11/23/1984,245.300003,0.00950
11/26/1984,244.899994,-0.00160
11/27/1984,252.300003,0.03020
11/28/1984,250.699997,-0.00630
11/29/1984,243.5,-0.02870
11/30/1984,242.399994,-0.00450
12/3/1984,240.899994,-0.00620
12/4/1984,240.800003,-0.00040
12/5/1984,238.699997,-0.00870
12/6/1984,238.899994,0.00080
12/7/1984,239.300003,0.00170
12/10/1984,250.199997,0.04550
12/11/1984,238.800003,-0.04560
12/12/1984,238.5,-0.00130
12/13/1984,238.100006,-0.00170
12/14/1984,239,0.00380
12/17/1984,238.5,-0.00210
12/18/1984,243.300003,0.02010
12/19/1984,245.399994,0.00860
12/20/1984,244.5,-0.00370
12/21/1984,244.800003,0.00120
12/24/1984,245.800003,0.00410
12/26/1984,246.600006,0.00330
12/27/1984,245.399994,-0.00490
12/28/1984,245.899994,0.00200
12/31/1984,247.100006,0.00490
1/2/1985,245.899994,-0.00490
1/3/1985,246.399994,0.00200
1/4/1985,246.100006,-0.00120
1/7/1985,245.899994,-0.00080
1/8/1985,246,0.00040
1/9/1985,247.300003,0.00530
1/10/1985,250.699997,0.01370
1/11/1985,252.199997,0.00600
1/14/1985,255.5,0.01310
1/15/1985,257.799988,0.00900
1/16/1985,260.200012,0.00930
1/17/1985,261.200012,0.00380
1/18/1985,263.100006,0.00730
1/21/1985,266.399994,0.01250
1/22/1985,268.399994,0.00750
1/23/1985,270.700012,0.00860
1/24/1985,272.299988,0.00590
1/25/1985,274,0.00620
1/28/1985,275,0.00360
1/29/1985,276.200012,0.00440
1/30/1985,278.600006,0.00870
1/31/1985,278.700012,0.00040
2/1/1985,278.399994,-0.00110
2/4/1985,280.799988,0.00860
2/5/1985,282.600006,0.00640
2/6/1985,284.5,0.00670
2/7/1985,287.100006,0.00910
2/8/1985,288.399994,0.00450
2/11/1985,287.399994,-0.00350
2/12/1985,286.600006,-0.00280
2/13/1985,288.299988,0.00590
2/14/1985,288.399994,0.00030
2/15/1985,287.700012,-0.00240
2/19/1985,286.899994,-0.00280
2/20/1985,287.299988,0.00140
2/21/1985,287,-0.00100
2/22/1985,286.200012,-0.00280
2/25/1985,284,-0.00770
2/26/1985,285,0.00350
2/27/1985,284.100006,-0.00320
2/28/1985,284.200012,0.00040
3/1/1985,287.200012,0.01060
3/4/1985,287.100006,-0.00030
3/5/1985,287.100006,0.00000
3/6/1985,285.5,-0.00560
3/7/1985,283.200012,-0.00810
3/8/1985,282.399994,-0.00280
3/11/1985,281.200012,-0.00420
3/12/1985,281.399994,0.00070
3/13/1985,278.200012,-0.01140
3/14/1985,277.5,-0.00250
3/15/1985,278,0.00180
3/18/1985,277.100006,-0.00320
3/19/1985,278.899994,0.00650
3/20/1985,278.799988,-0.00040
3/21/1985,279,0.00070
3/22/1985,278.899994,-0.00040
3/25/1985,276.299988,-0.00930
3/26/1985,276.200012,-0.00040
3/27/1985,277.600006,0.00510
3/28/1985,278.200012,0.00220
3/29/1985,279.200012,0.00360
4/1/1985,280.299988,0.00390
4/2/1985,279.700012,-0.00210
4/3/1985,277.899994,-0.00640
4/4/1985,277.399994,-0.00180
4/8/1985,276.5,-0.00320
4/9/1985,276.600006,0.00040
4/10/1985,278.799988,0.00800
4/11/1985,280.100006,0.00470
4/12/1985,280.600006,0.00180
4/15/1985,281.100006,0.00180
4/16/1985,282.299988,0.00430
4/17/1985,283.299988,0.00350
4/18/1985,283.100006,-0.00070
4/19/1985,282.799988,-0.00110
4/22/1985,281.799988,-0.00350
4/23/1985,282.600006,0.00280
4/24/1985,283.100006,0.00180
4/25/1985,284,0.00320
4/26/1985,284.100006,0.00040
4/29/1985,282.100006,-0.00700
4/30/1985,280.600006,-0.00530
5/1/1985,279.600006,-0.00360
5/2/1985,279,-0.00210
5/3/1985,280.299988,0.00470
5/6/1985,279.899994,-0.00140
5/7/1985,280.899994,0.00360
5/8/1985,281.100006,0.00070
5/9/1985,283.299988,0.00780
5/10/1985,287.5,0.01480
5/13/1985,288.100006,0.00210
5/14/1985,287.700012,-0.00140
5/15/1985,288.5,0.00280
5/16/1985,289.799988,0.00450
5/17/1985,291.700012,0.00660
5/20/1985,294.5,0.00960
